Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,year
18250.0,18250.0,18250.0,18250.0,18250.0,18250.0,18250.0,18250.0,18250.0
850598.2734126027,292992.48189643834,295138.477670137,22838.484500273968,239626.74739013697,182185.36725041096,54335.123135342474,3106.256292054794,2016.148
3453456.2591849547,1264956.2556407494,1204089.371386514,107461.25700835885,986216.812268137,746159.1324546917,243959.60891743453,17692.424825022186,0.940012696616958
84.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0
10839.6275,854.21,3008.0975,0.0,5089.0825,2850.3225,127.58,0.0,2015.0
107365.505,8643.2,29058.875,184.97500000000002,39741.18,26351.614999999998,2647.27,0.0,2016.0
432952.665,111008.7125,150166.335,6242.055,110781.11499999999,83336.20999999999,22018.275,132.4325,2017.0
62505646.52,22743616.17,20470572.61,2546439.11,19373134.37,13384586.8,5719096.61,551693.65,2018.0
9.007929941608484,8.64845620613493,8.942706158481498,10.159670626790806,9.75633355123183,9.540917418420245,9.796719214457282,13.140105909015809,0.21537114030481108
